first_name,last_name,title,company,website,email,linkedin,source,trigger,status,last_contact,next_step
,Founder,Trajectory Web Design,,,,,DesignRush,B2B nonprofit focus = high client touch → scope creep risk,new,,
,Founder,ANML,,,,,DesignRush,Startup-to-Fortune 500 range = complex agreements,new,,
,Owner,Big Red Jelly,,,,,DesignRush,"Brand. Build. Grow." model = multiple service lines = scope bleed,new,,
,Owner,Connective Web Design,,,,,DesignRush,Full-service branding + web + marketing = lots of client back-and-forth,new,,
,Founder,Mojo Media,,,,,DesignRush,"Turn website into sales machine" = heavy client onboarding,new,,
,Director,UX Team,,,,,DesignRush,Custom software + human-centered design = detailed discovery,new,,
,Founder,Quixta,,,,,DesignRush,480+ websites built = scale = agreement chaos,new,,
,Founder,Ungrammary,,,,,DesignRush,UI/UX agency = client revision loops are core pain,new,,
,Founder,ForeFront Web,,,,,DesignRush,Google Premier Partner = high-volume client work,new,,
,Owner,Azuro Digital,,,,,DesignRush,Revenue-focused web design = post-launch scope,new,,
,Director,Rudo,,,,,DesignRush,Strategy-led B2B = complex stakeholder alignment,new,,
,Owner,True Market,,,,,DesignRush,Client-love positioning = reputation depends on clarity,new,,
,Founder,GoingClear,,,,,DesignRush,Post-launch support messaging = recurring agreement gaps,new,,
,Owner,Rock Salt Marketing Cooperative,,,,,DesignRush,"Cooperative" model = member project coordination,new,,
,Owner,Just By Design,,,,,DesignRush,Future-focused branding + SEO = multi-phase projects,new,
